Month,Planted,Felled,Net Planted
Jul-22,0,11,-11
Aug-22,0,11,-11
Sep-22,0,13,-13
Oct-22,0,8,-8
Nov-22,1,11,-10
Dec-22,46,18,28
Jan-23,1,3,-2
Feb-23,297,20,277
Mar-23,224,43,181
Apr-23,118,10,108
May-23,40,25,15
Jun-23,0,37,-37
Jul-23,0,23,-23
Aug-23,0,33,-33
Sep-23,0,27,-27
Oct-23,1,38,-37
Nov-23,0,29,-29
Dec-23,358,39,319
Jan-24,410,57,353
Feb-24,304,34,270
Mar-24,293,16,277
Apr-24,70,37,33
May-24,0,28,-28
Jun-24,0,19,-19
Jul-24,0,19,-19
Aug-24,0,28,-28
Sep-24,0,5,-5
Oct-24,0,0,0
Nov-24,421,0,421
Dec-24,410,0,410
Jan-25,271,0,271
Feb-25,281,0,281
Mar-25,578,0,578
Apr-25,98,0,98
May-25,0,0,0
Jun-25,0,0,0
Jul-25,0,0,0
Aug-25,0,0,0
Sep-25,0,0,0
Oct-25,0,0,0
Nov-25,0,0,0
